0 :0
MDL16CS001 :8.35106
MDL16CS002 :8.3617
MDL16CS003 :5.6383
MDL16CS004 :6.18085
MDL16CS005 :4.82979
MDL16CS006 :8.15957
MDL16CS007 :9.09574
MDL16CS008 :5.52128
MDL16CS009 :8.17022
MDL16CS010 :7.81915
MDL16CS011 :6.57447
MDL16CS012 :8.4149
MDL16CS013 :8.64894
MDL16CS014 :2.14893
MDL16CS015 :8.64893
MDL16CS016 :8.19149
MDL16CS017 :7.69149
MDL16CS018 :7.09575
MDL16CS019 :7.47872
MDL16CS020 :8.65957
MDL16CS021 :8.94681
MDL16CS022 :7.56383
MDL16CS023 :9.42553
MDL16CS024 :5.98936
MDL16CS025 :7.84042
MDL16CS026 :7.74468
MDL16CS027 :8.1383
MDL16CS028 :9.02128
MDL16CS029 :8.71277
MDL16CS030 :7.86171
MDL16CS031 :6.80851
MDL16CS032 :8.73404
MDL16CS033 :2.98936
MDL16CS034 :9.03192
MDL16CS035 :7.87234
MDL16CS036 :8.32979
MDL16CS037 :8.94681
MDL16CS038 :8.52128
MDL16CS039 :8.51064
MDL16CS040 :8.18085
MDL16CS041 :7.59575
MDL16CS042 :9.06383
MDL16CS043 :8.78724
MDL16CS044 :9.34043
MDL16CS045 :7.88298
MDL16CS046 :8.81915
MDL16CS047 :8.73404
MDL16CS048 :8.4149
MDL16CS049 :2.93617
MDL16CS050 :9.5
MDL16CS051 :5.97873
MDL16CS052 :8.78723
MDL16CS053 :6.89362
MDL16CS054 :7.81915
MDL16CS055 :9.14894
MDL16CS056 :9.34043
MDL16CS057 :7.19149
MDL16CS058 :8.48937
MDL16CS059 :9.2234
MDL16CS060 :8.04255
MDL16CS061 :5.5
MDL16CS062 :8.79788
MDL16CS063 :8.24468
MDL16CS064 :8.18085
MDL16CS065 :8.46809
MDL16CS066 :8.28723
MDL16CS067 :7.96809
MDL16CS068 :7.30851
MDL16CS069 :8.67021
MDL16CS070 :8.40426
MDL16CS071 :9.21276
MDL16CS072 :8.28723
MDL16CS073 :9.2234
MDL16CS074 :9.06383
MDL16CS075 :7.12766
MDL16CS076 :6.93617
MDL16CS077 :8.14894
MDL16CS078 :9.11702
MDL16CS079 :9.20213
MDL16CS080 :6.97872
MDL16CS081 :8.58511
MDL16CS082 :8.20213
MDL16CS083 :8.18085
MDL16CS084 :7.89361
MDL16CS085 :5.64894
MDL16CS086 :8.81914
MDL16CS087 :9.27659
MDL16CS088 :9.04255
MDL16CS089 :8.82979
MDL16CS090 :7.45745
MDL16CS091 :8.75532
MDL16CS092 :8.56383
MDL16CS093 :9.32979
MDL16CS094 :7.54255
MDL16CS095 :9.08511
MDL16CS096 :8.76596
MDL16CS097 :7.96808
MDL16CS098 :3.41489
MDL16CS099 :8.90426
MDL16CS100 :8.79788
MDL16CS101 :8.48936
MDL16CS102 :7.93617
MDL16CS103 :8.5
MDL16CS104 :6.78723
MDL16CS105 :8.41489
MDL16CS106 :8.5851
MDL16CS107 :8.6383
MDL16CS108 :8.73404
MDL16CS109 :9.4468
MDL16CS110 :9.48936
MDL16CS111 :8.67021
MDL16CS112 :8.47873
MDL16CS113 :7.5
MDL16CS114 :7.60639
MDL16CS115 :8.22341
MDL16CS116 :7.44681
MDL16CS117 :8.57447
MDL16CS118 :7.76596
MDL16CS119 :8.46808
MDL16CS120 :6.95744
MDL16CS121 :3.06383
MDL16CS122 :8.34042
MDL16CS123 :8.95745
